name,email,personnummer,average_heartbeat,chronic_illness
Mika Holm,mika.holm519@example.se,19871103-9198,77,Type 2 Diabetes
Sanna Laine,sanna.laine796@example.se,19870403-9576,60,COPD
Emil Nielsen,emil.nielsen535@example.se,19771225-2453,79,COPD
Tilde Dahl,tilde.dahl962@example.se,19701212-3415,63,
Sofie Rasmussen,sofie.rasmussen182@example.se,19550314-5098,76,Celiac Disease
Emil Hansen,emil.hansen315@example.se,19830217-1427,79,Hypertension
Vilde Svensson,vilde.svensson905@example.se,19900914-2875,76,Migraine
Freja Nielsen,freja.nielsen887@example.se,19600110-6799,73,Celiac Disease
Freja Lund,freja.lund634@example.se,19541025-3871,75,Migraine
Elias Rasmussen,elias.rasmussen57@example.se,19550201-7880,64,Arthritis
Mika Andersson,mika.andersson876@example.se,19680520-1559,76,Asthma
Elias Holm,elias.holm405@example.se,20030418-1677,72,Hypothyroidism
Elias Korhonen,elias.korhonen114@example.se,19830816-7763,68,Arthritis
Freja Hansen,freja.hansen651@example.se,19720101-3802,88,Type 2 Diabetes
Kasper Holm,kasper.holm234@example.se,19800712-8881,64,Asthma
Aksel Johansen,aksel.johansen453@example.se,19560628-1166,84,Migraine
Tilde Svensson,tilde.svensson947@example.se,19790424-1780,58,
Elias Korhonen,elias.korhonen713@example.se,19680122-3472,80,Type 2 Diabetes
Sofie Korhonen,sofie.korhonen113@example.se,19900404-9802,60,Hypothyroidism
Mika Andersson,mika.andersson954@example.se,19800420-2307,75,Hypothyroidism
Emil Poulsen,emil.poulsen170@example.se,20000714-9436,70,Hypothyroidism
Sanna Nielsen,sanna.nielsen621@example.se,19710607-3435,71,Migraine
Oskar Karlsen,oskar.karlsen371@example.se,20050111-3535,58,Celiac Disease
Maja Holm,maja.holm722@example.se,19590228-8553,77,Hypertension
Emil Virtanen,emil.virtanen716@example.se,19681021-1719,62,Asthma
Aksel Eriksen,aksel.eriksen856@example.se,19720324-5960,80,Hypothyroidism
Anna Virtanen,anna.virtanen457@example.se,19511108-6326,70,Hypertension
Freja Dahl,freja.dahl714@example.se,19820107-1493,73,
Sanna Lund,sanna.lund16@example.se,19901007-4450,82,Celiac Disease
Oskar Virtanen,oskar.virtanen84@example.se,19760411-8930,63,Hypothyroidism
Jonas Laine,jonas.laine105@example.se,19701226-6734,55,
Oskar Sigurdsson,oskar.sigurdsson843@example.se,19630908-6960,90,Asthma
Tilde Sigurdsson,tilde.sigurdsson920@example.se,19680917-8848,67,
Sofie Eriksen,sofie.eriksen297@example.se,19520720-3493,71,Hypothyroidism
Sanna Rasmussen,sanna.rasmussen992@example.se,19780419-2886,92,COPD
Nora Nielsen,nora.nielsen69@example.se,19790901-8538,62,
Nora Sigurdsson,nora.sigurdsson272@example.se,19690503-9074,56,Type 2 Diabetes
Elias Sigurdsson,elias.sigurdsson378@example.se,19830227-9929,90,Migraine
Kasper Lund,kasper.lund258@example.se,19990607-6390,76,
Aksel Lund,aksel.lund604@example.se,19741006-6870,71,COPD
Kari Eriksen,kari.eriksen829@example.se,19720212-5104,54,Hypertension
Emil Svensson,emil.svensson104@example.se,19610501-6683,63,Hypothyroidism
